ENTREZID	SYMBOL	length	sample1	sample2	sample3
100132116	ACTA2-AS1	3212	3	9	4
100132146	FAM240A	2117	2	1	4
100132159	CALML3-AS1	5456	1	2	1
100132247	NPIPB5	26332	362	217	641
100132287	LOC100132287	3582	17	16	14
100132403	FAM157B	2877	3	5	8
100132406	NBPF10	16834	45	63	94
100132707	PAXIP1-AS2	4211	26	22	42
100132741	LOC100132741	4113	2	20	5
100132774	KDM4A-AS1	2828	22	5	31
100132815	IPO5P1	6886	27	18	31
100132891	MSC-AS1	8806	6	32	12
100132987	LINC00856	4643	4	7	0
100133036	FAM95B1	19274	5	12	1
100133123	LINC01203	1002	0	0	5
100133161	LINC01001	2553	9	6	27
100133315	LOC100133315	4977	29	24	33
100133319	PRO1804	2050	4	6	7
100133612	LINC01134	5561	8	6	5
100133991	MAP3K14-AS1	6985	16	28	23
100134015	UBOX5-AS1	2108	1	11	3
10014	HDAC5	12632	137	136	212
100144595	LOC100144595	2362	6	24	3
100144604	LINC00930	1898	4	12	3
10015	PDCD6IP	16356	1305	547	1751
10016	PDCD6	13739	904	257	1035
100169851	PATE3	1336	2	11	4
100170841	EPOP	7438	80	0	67
10018	BCL2L11	15222	775	160	447
100188949	LINC00426	4499	6	79	18
100188953	LINC00092	2290	4	6	0
100188954	DNMBP-AS1	2427	3	2	2
10019	SH2B3	7440	777	105	820
100190938	RAMP2-AS1	8217	1	7	1
100190939	TPT1-AS1	17605	83	84	106
100190940	LINC02418	4708	1	0	3
100191040	C2CD4D	1757	47	8	76
10020	GNE	9578	126	65	281
10023	FRAT1	2649	21	32	17
100233209	PCED1B-AS1	5361	481	713	723
10024	TROAP	9255	265	2	356
10025	MED16	13759	448	254	718
10026	PIGK	6400	429	158	568
100270680	CASC11	4678	6	28	13
100270804	LOC100270804	1539	5	35	12
100271715	ARHGEF33	8806	7	40	7
100271836	SMG1P3	1211	21	17	38
100271927	RASA4B	15929	75	51	76
100272147	CMC4	1937	26	25	44
100272228	LINC00894	8937	4	24	8
100286844	BCDIN3D-AS1	4061	3	3	1
100287015	LOC100287015	2413	26	12	38
100287042	LOC100287042	2527	17	4	21
100287171	WASHC1	1827	17	24	21
100287177	EML2-AS1	2323	31	0	60
100287178	USP17L11	4779	2	13	5
100287216	SH3RF3-AS1	1604	7	0	0
100287225	LINC01630	14996	17	68	6
100287284	MANSC4	1023	3	6	1
100287399	POTEB2	5068	2	17	7
100287482	SMKR1	1459	18	4	31
100287559	ADPGK-AS1	3323	10	7	10
100287616	LOXL1-AS1	9916	24	50	57
100287722	AP4B1-AS1	2824	14	5	34
100287765	LINC00630	4780	38	22	61
100287792	LOC100287792	2112	4	2	5
100287896	LOC100287896	2493	8	8	18
100287932	TIMM23	1222	1400	112	1680
100288079	GS1-279B7.1	1238	4	18	2
100288142	NBPF20	22311	22	45	54
100288152	SLC9A3-AS1	4419	7	1	6
100288198	HMGN3-AS1	2946	8	4	8
100288332	NPIPA5	2713	35	43	34
100288413	ERVMER34-1	6805	9	8	21
100288428	LMCD1-AS1	4791	2	12	8
100288520	USP17L15	1742	1	12	1
100288637	LOC100288637	7096	70	17	92
100288798	LOC100288798	2675	6	8	7
100289019	SLC25A25-AS1	6391	23	42	25
100289178	GNG12-AS1	2998	0	12	5
100289211	LINC00624	5760	27	18	75
100289255	TMEM238L	2019	2	10	2
100289635	ZNF605	17588	29	20	63
100289650	PSG8-AS1	1873	2	0	5
100289678	ZNF783	4452	114	53	133
100293516	ZNF587B	7322	208	39	269
100294362	LOC100294362	4552	6	6	16
100302640	LINC00882	5072	2	7	2
100302652	GPR75-ASB3	6155	8	15	13
100302692	FTX	7379	79	74	135
100303491	ZEB2-AS1	5789	0	7	0
100303728	SLC25A5-AS1	7107	17	6	17
100303755	PET117	3485	63	28	134
100309464	OTX2-AS1	3945	3	6	2
100310846	ANKRD61	1257	10	6	15
100329135	TRPC5OS	5389	2	5	3
10036	CHAF1A	6194	719	19	948
100379174	MACROD2-AS1	1893	6	17	8
10038	PARP2	6450	419	39	567
100381270	ZBED6	4250	30	15	37
10039	PARP3	6723	78	28	92
1004	CDH6	13749	13	44	13
10040	TOM1L1	4704	22	37	16
100419583	LOC100419583	8780	396	149	529
10042	HMGXB4	10747	130	31	217
100420587	LOC100420587	5160	2	14	5
100422737	LINC02532	5847	5	15	3
100423062	IGLL5	2336	0	0	0
10043	TOM1	12548	180	185	264
10044	SH2D3C	8694	124	242	340
10045	SH2D3A	8549	155	105	184
10046	MAMLD1	10032	31	1	41
100462977	MTRNR2L1	1553	9	12	53
100462983	MTRNR2L3	1539	8	4	5
100463486	MTRNR2L8	1303	83	203	140
100463488	MTRNR2L10	1530	27	72	44
10048	RANBP9	3659	252	93	220
10049	DNAJB6	20653	1528	334	1833
100499171	LINC00276	3964	1	20	1
100499177	THAP9-AS1	9282	76	67	195
100499183	BAALC-AS1	2959	6	7	6
100499227	USP2-AS1	5830	14	13	11
100499405	LINC00987	2472	13	5	35
100499467	LINC00673	6530	3	17	6
100499483	CCDC180	20668	2	4	3
1005	CDH7	15598	22	41	6
10050	SLC17A4	7609	10	37	3
100500815	NA	2613	47	7	10
100500849	MIR3916	94	8	10	6
100505474	LINC01539	4993	3	22	1
100505483	PRKAG2-AS1	1446	15	11	12
100505495	PCAT19	4353	4	2	1
100505532	LINC01301	4822	3	14	4
100505538	RBM26-AS1	5475	34	26	51
100505549	LOC100505549	4357	37	66	47
100505566	LINC00578	1787	4	10	3
100505576	LINC00672	2365	1	22	1
100505583	LINC00838	2936	7	21	8
100505616	SNHG21	2973	26	5	33
100505619	LINC00919	1658	4	10	2
100505624	GTF3C2-AS1	5826	17	10	15
100505633	LINC01133	3444	2	8	2
100505636	MALINC1	6137	11	11	10
100505641	FGD5-AS1	9595	698	307	897
100505648	RAD51-AS1	2078	14	62	44
100505658	LOC100505658	2480	13	10	11
100505659	LINC00967	2499	3	11	1
100505676	RRS1-AS1	4366	2	6	5
100505678	STARD4-AS1	6048	10	34	15
100505681	NAPA-AS1	2228	8	6	7
100505696	SH3BP5-AS1	6872	14	35	39
100505702	LINC01094	7592	1	24	1
100505715	LOC100505715	3241	1	11	10
100505716	LOC100505716	2110	12	24	23
100505718	LINC01592	3993	0	13	1
100505738	MIR4458HG	5301	40	9	77
100505746	ITGB2-AS1	3772	24	252	51
100505758	PRMT5-AS1	5863	9	1	18
100505761	RPARP-AS1	4927	91	36	74
100505771	MHENCR	1383	15	49	22
100505776	LINC01541	4070	4	14	8
100505795	LOC100505795	1963	2	7	1
100505812	CARD8-AS1	1969	93	46	149
100505832	PROX1-AS1	16651	5	58	3
100505854	APTR	4027	33	8	35
100505865	LINC00920	2147	3	5	10
100505875	LINC01088	5316	9	21	4
100505876	CEBPZOS	1761	131	57	211
100505881	MAGI2-AS3	18388	2	20	1
100505887	LINC01672	3231	1	10	6
100505894	TMEM161B-AS1	7042	77	69	97
100505915	LOC100505915	5196	3	3	10
100505918	LOC100505918	2190	3	8	3
100505921	LOC100505921	1260	0	2	5
100505933	ADD3-AS1	9656	5	22	11
100505967	LINC00645	4072	2	9	6
100505989	SMIM31	3700	4	24	4
100505994	LUCAT1	3970	14	13	74
100506013	APELA	3737	15	43	4
100506025	ISPD-AS1	3812	5	16	5
100506033	PTOV1-AS1	5336	28	8	48
100506050	LINC01005	1071	2	3	0
100506054	RNASEH1-AS1	2054	138	12	171
100506071	LOC100506071	3533	6	7	3
100506076	LOC100506076	6851	12	24	12
100506084	ARL17B	7113	18	20	27
100506085	LINC02275	4365	5	1	2
100506100	LOC100506100	544	32	14	31
100506119	LINC01503	2303	1	0	0
100506123	LOC100506123	8972	3	16	8
100506127	GVQW3	13318	22	49	25
100506134	TTC21B-AS1	3197	1	3	3
100506142	LOC100506142	1519	7	25	6
100506144	TMEM35B	922	6	10	20
100506161	TAF1A-AS1	2522	8	11	10
100506172	LINC01568	5030	1	20	5
100506178	LOC100506178	2432	3	6	4
100506190	LINC00963	19825	130	46	184
100506195	LARGE-AS1	4223	6	11	5
100506211	MIR210HG	7614	13	4	36
100506215	PAXBP1-AS1	6879	13	13	8
100506233	RAB30-AS1	4429	62	22	118
100506258	LOC100506258	9259	8	22	11
100506274	LOC100506274	4096	30	5	41
100506302	LOC100506302	2621	36	9	35
100506305	LINC00958	5975	4	24	8
100506311	HOTAIRM1	2731	5	22	16
100506314	GPRC5D-AS1	4056	7	15	17
100506321	LOC100506321	2229	6	3	2
100506325	SP2-AS1	3920	17	5	16
100506334	LINC00649	17499	80	169	86
100506365	OTUD6B-AS1	6446	136	88	173
100506385	LINC01426	3399	3	21	3
100506392	SLC16A1-AS1	12270	88	52	128
100506403	LOC100506403	4010	4	9	5
100506428	CBR3-AS1	14143	30	28	37
100506433	LINC00648	3690	1	6	4
100506436	SPAG5-AS1	5056	11	9	18
100506443	ITPKB-IT1	1465	2	4	5
100506444	LOC100506444	3210	2	20	3
100506451	RASSF8-AS1	6202	8	20	5
100506457	MIR3681HG	3746	1	17	8
100506462	SRD5A3-AS1	8083	13	48	15
100506469	TMEM147-AS1	5788	111	26	132
100506475	EGFLAM-AS2	747	0	2	2
100506476	LOC100506476	1111	5	14	2
100506495	LIFR-AS1	5682	1	17	4
100506497	LOC100506497	4165	12	24	8
100506527	LINC01007	4355	1	15	0
100506551	LOC100506551	4196	14	26	19
100506564	THEGL	1839	12	19	3
100506581	C16orf95	2892	44	0	23
100506606	LOC100506606	2933	3	26	6
100506622	LINC00540	5143	23	12	30
100506627	NA	2613	18	39	4
100506637	PRKAR2A-AS1	5822	4	7	3
100506639	LOC100506639	3016	12	32	25
100506649	PXN-AS1	3476	41	11	45
100506658	OCLN	7697	7	15	8
100506668	NRAV	1901	33	3	53
100506674	MRPS30-DT	3893	3	21	6
100506675	LOC100506675	1233	6	13	3
100506686	IQCH-AS1	7376	22	20	25
100506710	EBLN3P	7004	301	301	426
100506713	ALOX12-AS1	5064	24	44	33
100506725	LOC100506725	5452	3	10	2
100506733	FAM170B-AS1	3696	1	8	4
100506736	SLFN12L	7623	143	208	340
100506742	CASP12	2415	1	12	7
100506746	AFF1-AS1	5189	2	10	8
100506753	AZIN1-AS1	5485	32	19	74
100506776	TRG-AS1	4315	49	99	74
100506779	TSPOAP1-AS1	9483	32	61	67
100506801	LOC100506801	2479	10	11	15
100506804	LOC100506804	2107	4	7	14
100506810	LINC01132	3793	3	10	34
100506834	GAS1RR	4387	8	21	10
100506860	LINC00513	1616	31	31	64
100506866	TTN-AS1	26863	88	52	156
100506869	LOC100506869	2544	1	14	5
100506881	MKLN1-AS	4406	20	1	39
100506915	CHRM3-AS2	4777	35	206	138
100506930	LINC00665	8193	57	33	58
100506963	ELOA-AS1	1477	9	4	8
100506994	PTPRG-AS1	8056	22	27	18
100507006	LOC100507006	3578	6	15	14
100507027	MRLN	4938	2	2	3
100507032	TMCC1-AS1	5295	20	16	25
100507034	PITRM1-AS1	4939	19	2	19
100507053	LOC100507053	7104	8	39	20
100507062	PSMD6-AS2	2456	26	56	27
100507064	TEX26-AS1	12466	3	11	5
100507073	LINC01798	2508	1	16	3
100507098	ADAMTS9-AS2	7959	15	63	15
100507099	FRY-AS1	1115	1	14	4
100507117	ASAP1-IT2	2031	5	30	5
100507127	LINC00707	3070	2	32	12
100507140	LINC01792	2050	5	6	4
100507156	LOC100507156	6172	1	11	3
100507171	BOLA3-AS1	4034	26	5	34
100507173	LINC01012	4716	6	12	11
100507195	LINC02384	2405	8	17	15
100507206	LINC00943	10229	8	22	13
100507217	LINC01578	8803	290	464	394
100507218	RNF157-AS1	3663	1	7	4
100507240	VWA8-AS1	2481	5	12	2
100507244	MAMDC2-AS1	8472	10	16	6
100507246	SNHG16	10025	1000	71	1048
100507250	LOC100507250	3732	10	13	5
100507254	LINC01013	4257	7	18	4
100507266	STX18-AS1	7911	37	44	32
100507274	LINC01210	2220	1	12	5
100507283	LOC100507283	5560	7	28	6
100507291	LOC100507291	3497	3	7	4
100507297	TMEM44-AS1	2049	7	7	7
100507299	SMC5-AS1	1818	6	19	4
100507300	ALKBH3-AS1	3133	4	14	2
100507308	TARID	9761	3	9	2
100507316	MINCR	2110	23	7	24
100507321	ERVK13-1	12351	129	68	299
100507341	SMIM18	905	3	13	9
100507347	VIM-AS1	2161	5	53	10
100507373	LOC100507373	3996	7	6	6
100507377	LOC100507377	2494	0	19	3
100507387	LOC100507387	4043	4	6	3
100507389	LOC100507389	2612	1	8	0
100507391	LINC01968	4486	4	16	1
100507398	INTS6-AS1	1860	10	21	24
100507412	LOC100507412	4996	52	235	59
100507419	MMP25-AS1	7392	37	59	61
100507421	TMEM178B	11140	11	18	13
100507424	NA	2613	7	4	16
100507428	LINC00458	4117	6	15	2
100507431	LINC02551	2539	3	10	4
100507433	ZNF571-AS1	7594	9	21	9
100507436	MICA	26381	48	25	93
100507458	ZNF213-AS1	6507	27	19	24
100507462	GVQW2	2993	16	31	11
100507463	PSMB8-AS1	47331	203	257	222
100507495	SDCBP2-AS1	5991	22	29	39
100507501	LINC01569	3451	18	12	19
100507506	LOC100507506	2277	0	6	0
100507524	ARHGEF26-AS1	8228	14	44	14
100507537	DWORF	873	2	12	0
100507540	LINC01504	3337	4	3	1
100507557	LOC100507557	9032	9	15	15
100507582	BHLHE40-AS1	3591	3	6	12
100507589	NAGPA-AS1	2265	4	9	4
100507600	LOC100507600	1862	4	5	4
100507602	TRIM52-AS1	2319	16	34	18
100507605	LINC00837	6079	6	13	6
100507607	NPIPB9	2123	4	4	5
100507632	LINC00968	5233	3	10	3
100507642	LOC100507642	19452	31	1	14
100507650	RNF212B	3335	3	8	12
100507679	MUC22	38473	7	22	4
100508046	LOC100508046	2086	11	31	8
100509894	CPB2-AS1	6147	0	19	7
10051	SMC4	18252	978	140	1259
10052	GJC1	14280	46	14	20
100526737	RBM14-RBM4	6034	21	6	25
100526830	SLX1A-SULT1A3	14217	43	13	105
100526835	FPGT-TNNI3K	12448	1	9	3
100527949	GIMAP1-GIMAP5	2708	4	5	2
100527950	GJA9-MYCBP	8403	341	53	438
100527964	LHX4-AS1	5600	6	5	9
100528022	BLOC1S1-RDH5	5627	12	3	16
100528032	KLRC4-KLRK1	4144	3	1	2
100529144	CORO7-PAM16	18670	9	28	13
100529211	TMEM256-PLSCR3	4739	5	5	8
100529215	ZNF559-ZNF177	6295	1	12	3
100529240	ZNF816-ZNF321P	1252	10	6	38
100529261	CHURC1-FNTB	5598	28	30	34
100532736	MINOS1-NBL1	3807	39	17	52
100532746	PPT2-EGFL8	61504	11	7	16
100533107	RTEL1-TNFRSF6B	10881	17	14	24
100533182	SEC24B-AS1	1939	9	20	13
100533952	RBAK-RBAKDN	1049	74	34	76
100533970	P2RX5-TAX1BP3	6564	17	8	22
100534593	STX16-NPEPL1	6775	11	19	18
10054	UBA2	7493	2043	297	1923
10055	SAE1	7930	1619	289	2153
10056	FARSB	3369	1926	136	2200
10057	ABCC5	17404	217	176	353
10058	ABCB6	12652	210	35	339
10059	DNM1L	20185	1181	187	1427
1006	CDH8	23014	6	33	2
10060	ABCC9	12034	11	60	18
10061	ABCF2	5159	1842	254	2091
100616282	MIR4738	2874	23	13	28
100616477	MIR4442	67	5	5	11
10062	NR1H3	14547	12	2	42
100628307	DIO2-AS1	1597	3	4	2
100628315	DNM3OS	4358	6	8	2
10063	COX17	2875	530	80	645
100630923	LOC100630923	8325	59	45	112
100652748	TIMM23B	5944	205	41	256
100652759	PRICKLE2-AS1	6505	4	3	2
100652770	DSG2-AS1	2760	1	9	1
100652772	NNT-AS1	8224	41	56	98
100652824	KIAA2012	9124	11	28	5
100652846	CACNA1C-AS1	3335	4	0	3
100652865	LINC00539	1980	7	21	14
100652988	LINC00702	7109	3	1	7
100653515	CEP295NL	5387	1	4	0
10066	SCAMP2	11043	543	401	935
10067	SCAMP3	10188	1026	186	1427
10068	IL18BP	11819	7	47	12
10069	RWDD2B	6868	165	25	165
1007	CDH9	5774	4	17	4
10071	MUC12	33188	9	14	11
10072	DPP3	6964	903	75	1194
10073	SNUPN	8084	298	76	323
10075	HUWE1	21439	1443	331	2115
100750225	PCAT1	1992	0	6	2
10077	TSPAN32	8518	4	30	7
10078	TSSC4	9198	302	130	445
10079	ATP9A	8344	72	23	158
1008	CDH10	6392	3	22	3
10081	PDCD7	3490	133	60	191
10082	GPC6	6802	6	17	7
100820829	MYZAP	4096	1	4	5
10083	USH1C	6494	1	3	1
10084	PQBP1	6567	333	106	446
100846978	LINC00506	5965	3	10	2
10085	EDIL3	8957	3	42	7
100852406	POTEH-AS1	2566	2	8	4
100852410	ZRANB2-AS2	5150	7	8	7
100856811	NRG1-IT1	1930	4	9	2
100859921	LINC00536	2692	4	13	5
100859930	HEIH	1652	80	54	100
100861532	RNA45SN5	1004	55	14	20
100861548	PINK1-AS	4443	15	9	25
100861552	LINC00558	3163	2	7	1
100861554	LINC00563	1400	3	3	5
100862680	LINC00507	5633	2	7	7
10087	COL4A3BP	7801	259	111	458
100873165	SRGAP2-AS1	5414	2	5	6
100873939	LNX1-AS1	1580	4	5	5
100873948	NREP-AS1	1100	2	13	3
100874007	VIPR1-AS1	10113	3	5	2
100874047	LINC00499	1921	4	8	5
100874048	DGUOK-AS1	1583	8	12	24
100874052	LINC00534	2724	6	13	7
100874058	COX10-AS1	3294	54	52	77
100874078	EIF1AX-AS1	378	3	2	8
100874131	ZBTB20-AS4	675	1	10	1
100874167	LINC00423	903	0	4	2
100874175	LINC00446	694	0	3	4
100874187	LINC00559	3867	5	22	1
100874212	MYCBP2-AS1	4399	4	30	6
100874222	RNF219-AS1	13143	5	17	2
100874231	SPATA13-AS1	433	4	0	8
100874235	CACNA1C-AS2	609	2	3	0
100874239	ARHGAP26-AS1	1367	3	2	1
100874241	STARD13-AS	12679	2	15	1
100874244	NAALADL2-AS2	1038	6	21	5
100874249	DENND5B-AS1	1670	13	2	20
100874255	RNASEH2B-AS1	6122	8	47	10
100874531	LINC00581	990	4	12	1
100885775	BANCR	783	1	15	3
100885776	UGDH-AS1	2787	8	5	3
100885778	NALCN-AS1	2846	3	15	3
100885789	IFNG-AS1	2807	11	66	18
100887750	MRPS31P5	3796	45	55	52
1009	CDH11	14052	4	36	8
10090	UST	5026	42	40	95
10092	ARPC5	11319	3227	909	4219
10093	ARPC4	5703	666	271	931
10094	ARPC3	4603	1848	808	2208
10095	ARPC1B	7903	2166	1186	3761
10096	ACTR3	15270	6512	1473	8527
10097	ACTR2	6962	3278	1663	4499
10098	TSPAN5	10023	221	116	433
10099	TSPAN3	13000	707	52	821
100996251	LOC100996251	2459	12	21	7
100996255	LINC02256	366	4	6	3
100996266	LINC01510	2255	2	15	2
100996286	LINC02273	2772	5	81	2
100996307	LIPE-AS1	6333	35	15	48
100996490	LINC01206	26790	15	49	13
100996541	FAM157C	2286	5	9	12
100996569	NAMA	5625	4	5	12
100996579	LINC01806	3098	8	2	20
100996583	LOC100996583	3847	1	13	4
100996590	LINC01505	2669	5	24	3
100996624	LINC01981	2833	10	28	15
100996634	NA	2613	6	19	8
100996645	LINCR-0003	1229	3	4	0
100996941	IL21-AS1	3748	186	10	412
101	ADAM8	8551	629	549	797
1010	CDH12	11727	8	14	8
10100	TSPAN2	4046	3	65	9
10101	NUBP2	8497	447	116	648
10102	TSFM	6412	547	69	682
10105	PPIF	4021	1345	49	1420
101059938	NPIPA7	5084	41	47	63
10106	CTDSP2	9756	307	480	519
101060200	ZNF891	15455	77	81	78
101060498	LINC02265	957	5	3	6
101060542	LINC01910	2637	5	15	1
101060691	NUTM2B-AS1	16441	235	112	252
10109	ARPC2	11036	4478	1690	6247
10110	SGK2	8376	1	17	0
101101775	TMEM220-AS1	3359	2	10	1
10111	RAD50	11442	566	222	826
10112	KIF20A	5723	619	24	644
10113	PREB	9630	1114	214	1516
10114	HIPK3	12715	634	560	813
10116	FEM1B	8275	557	199	670
10117	ENAM	6741	10	28	15
1012	CDH13	15575	15	47	15
10120	ACTR1B	3764	69	93	108
10121	ACTR1A	8971	885	223	1189
10123	ARL4C	7398	75	1023	117
10124	ARL4A	8254	146	85	196
101241892	NPTN-IT1	2283	20	12	27
101243545	LINC02067	2845	356	194	402
10125	RASGRP1	10916	1030	728	2129
10126	DNAL4	3527	19	18	50
10127	ZNF263	9745	320	113	384
10128	LRPPRC	12254	3230	324	3093
10129	FRY	21600	22	116	37
10130	PDIA6	6082	2518	328	3822
10131	TRAP1	8020	1896	118	2360
10133	OPTN	9226	456	604	1143
10134	BCAP31	4133	827	437	1268
10135	NAMPT	11240	5461	70	6628
10136	CELA3A	1556	5	1	1
10137	RBM12	19200	1166	225	1437
10138	YAF2	16235	62	67	104
10139	ARFRP1	17679	320	133	480
10140	TOB1	4585	184	181	295
101409257	EZR-AS1	217	0	0	1
101410535	LAMTOR5-AS1	8594	3	8	8
101410538	MMP24OS	6733	23	30	21
101410543	XXYLT1-AS2	1206	1	1	1
10142	AKAP9	25889	262	330	398
10143	CLEC3A	3512	5	9	2
10144	FAM13A	24526	30	94	39
10146	G3BP1	17522	5846	703	7227
10147	SUGP2	10474	599	262	727
10148	EBI3	1555	65	0	159
10149	ADGRG2	15104	4	28	8
1015	CDH17	4804	2	26	5
10150	MBNL2	9075	172	181	377
10152	ABI2	42251	299	168	464
10153	CEBPZ	4805	971	162	1028
10154	PLXNC1	12219	72	93	154
10155	TRIM28	8766	1634	211	2122
10156	RASA4	9837	43	24	39
10157	AASS	7781	44	27	63
10159	ATP6AP2	3456	1056	564	1432
1016	CDH18	9102	9	28	4
10160	FARP1	21576	20	25	19
10161	LPAR6	8681	57	410	76
10162	LPCAT3	8476	117	43	156
10163	WASF2	5892	318	252	415
10164	CHST4	4595	1	0	2
10165	SLC25A13	6473	311	41	250
10166	SLC25A15	2371	218	13	246
101669764	GPR1-AS	4413	3	18	4
10168	ZNF197	12906	82	41	86
10169	SERF2	9643	1156	720	1693
1017	CDK2	11445	698	16	1047
10170	DHRS9	5722	109	12	32
10171	RCL1	6157	678	81	756
10172	ZNF256	4130	35	22	22
10174	SORBS3	12307	126	113	160
10175	CNIH1	8184	965	117	1149
101752399	STAG3L5P-PVRIG2P-PILRB	13233	446	320	507
10178	TENM1	18444	27	81	30
10179	RBM7	19848	749	127	846
10180	RBM6	13022	579	338	831
10181	RBM5	18590	386	369	682
10184	LHFPL2	13938	17	28	10
10186	LHFPL6	2556	41	10	87
101867536	PRNCR1	12727	36	58	37
10188	TNK2	23121	25	21	29
10189	ALYREF	1972	1289	77	1701
1019	CDK4	7495	1419	63	1652
10190	TXNDC9	5166	700	139	799
101926888	RALY-AS1	1423	8	8	8
101926892	LOC101926892	2367	1	12	5
101926897	LINC02338	2753	8	3	2
101926904	LINC01265	800	4	5	1
101926908	LOC101926908	1722	3	26	2
